Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,11.1,13.4,15.9,19.9,24.8,28.3,33.6,30.7,28.4,22.2,14.3,11.1
1952,10.8,12.3,13.1,19.7,26.4,29.2,33.2,32.7,29.9,24.9,14,10.6
1953,12.5,11.8,16.4,19.2,21.6,29.4,32.7,31.8,28.9,22,16.4,9.6
1954,11.3,16.3,14.6,22,25.7,29.3,32.9,36.9,30.1,23.8,18.1,12.2
1955,9.3,10.5,16.4,19.3,24.2,28.7,30.4,30.3,28.3,24.3,15.1,13.2
1956,13.4,10.5,16.4,19.1,24.9,30.5,31.1,29.8,29.2,20.9,14.3,11.8
1957,12.2,16.3,16.6,19.2,22.7,30.6,33,31.1,28.4,21.4,13.6,12.8
1958,11.7,14.4,13.9,19.3,27.4,31.7,34.2,33.7,30.3,24.8,17.3,13.3
1959,12.1,12.2,17.6,23.1,24.6,32.4,34.4,31.2,28.5,22.6,16.1,12
1960,9.2,10.8,18.4,21.3,25.4,32.2,33.6,32.1,29.9,21.4,15.8,10.3
1961,12.3,13.1,15.3,20.7,24.2,31.4,33.2,31.4,27,20.9,13.9,11.3
1962,10.8,13.2,13.3,22.4,23.1,28.4,32.3,33.2,29.1,22,16.6,12.8
1963,9.1,15.7,16.1,18.8,26.7,27.6,33.3,30.6,29.6,24.5,16.6,11
1964,8.2,9.6,13.6,18.4,23.2,28.1,32.6,30.1,27.2,23.8,13.1,11.1
1965,11.5,11.3,13.4,17.4,22.1,26.1,32.8,31.7,26.2,22.2,11.7,11.6
1966,9,9.8,16.2,21,26.7,30.4,33.9,32.7,28.3,21.6,15.8,11.1
1967,10.4,13.2,17.1,16.8,23.9,27.3,33.1,32.8,29.3,23.1,17.7,9
1968,11.3,15.4,15.5,19.3,24.8,30.1,32.3,30.3,28.7,22.6,15.1,9.7
1969,12.7,11.7,13.8,20.3,25.7,29,33.9,34.7,30,20.8,16.7,12.7
1970,11.2,15.7,15.3,18.2,26.4,31.2,35,33.6,27.9,20.6,16.3,11.4
1971,11.2,13.5,17.4,19.2,22.9,29.6,34.9,32,29.8,20.7,15.4,10.1
1972,10.8,15.1,21.4,21.9,25.7,31,34.7,32.2,29.3,22.2,14.5,11.2
1973,10.7,14.2,13.7,19.6,27.2,31.2,34.2,34.1,29.3,23.6,16,13
1974,12.2,13.7,18,21.4,26.8,33.4,33.6,32.9,30.7,24.4,16.4,10.3
1975,11.3,12.2,15,17,24.8,30.3,34.6,33.3,30.1,22.7,16.1,12.7
1976,13,15.9,16.4,20.4,27.1,31.1,33.1,32.6,28.3,23.3,17.8,13.1
1977,12.1,16.5,16,23.1,23.1,33,35,34.5,30.9,25.9,18.8,15.5
1978,13.7,14.8,18.7,20.7,23,32.7,35,33,30.2,25.9,16.4,10.9
1979,10.1,13.2,15.8,21.2,25.7,31.9,34.3,31.9,32.3,25.1,14.6,13.3
1980,13.7,15.9,15.9,21,24.4,31.6,35.3,33.4,30.7,24.2,17.8,0
1981,15.1,16.3,17.6,21,24.4,31.6,35.3,33.4,31.8,23.1,18.9,14.8
1982,12.2,15.6,16.9,22.5,26.9,31.2,34.3,34.3,30.4,23.1,16.5,12.2
1983,13.3,14.7,16.8,19.4,26.2,31.4,35.3,33.7,32.8,25.1,16.9,14
1984,14.1,15.6,19.8,21.5,30.6,31.6,33.2,32.9,30.8,21.9,16.6,12.1
1985,12.4,13.1,17.1,23.9,27,33.6,34.9,33,27.9,23.9,16.3,13.3
1986,14.4,15,18.7,22,25.9,32,32,32.7,26.9,23.3,16.3,11.8
1987,12.4,14,15.7,23,26.1,32.4,33.9,33.5,30.5,25.2,15.7,11.2
1988,11.4,15,17.6,21.4,26,31.9,34.2,32.9,28.8,26,16,11.4
1989,10.4,14.6,19.8,24.7,27,31.4,34.8,32.8,30.7,23,17.1,12.4
1990,11.1,13.7,18,22.6,26,32.8,32.7,31,29.9,23.9,17.1,10.4
1991,12.3,16.4,14.7,22.3,25,31,35.1,34.7,31.4,26.8,17.5,14.1
1992,13.6,16.7,18.2,25,28.4,32.3,33.8,33.5,32.5,26.6,16.4,12.1
1993,14.6,14.6,18.7,23.2,28.7,32,33.8,33.1,31.1,24.8,16.3,13.4
1994,13.8,14.5,18.3,22.1,25.7,33.4,34.4,35.2,30.5,22.8,14.4,12.9
1995,12.5,17.3,17.9,20.2,24.6,30.1,34.7,34.8,31.8,24.6,19.2,13.9
1996,13.3,17.4,18.4,23.4,28.3,33.3,35.1,34.5,29.1,23.8,18.1,13.6
1997,13.2,14.3,20.8,21.6,30.2,30.9,34.3,33.8,32.2,23.7,17.9,11.6
1998,13.7,12.3,16.6,19.2,24.5,29.6,34.7,34.8,31,23.1,16.7,12.4
1999,13.5,15.6,18.2,18.7,26.6,31.6,32.9,33.9,30.8,26.3,20.1,12.9
2000,14.5,16.1,17.2,24.1,29.4,32.8,35,33.6,32.3,22.6,13.8,14.1
2001,12.2,13.8,18.7,22.1,30.6,33.4,34.7,34.9,33.5,26.3,20.2,12.1
2002,13.3,16.3,18.4,24.8,27.6,34.1,35.6,35,32.1,24,19.4,12.9
2003,16.6,15.2,18.2,21.2,28.5,33.2,36.5,34.8,32.6,28.2,16.7,13.8
2004,14.2,13.3,22.4,22.7,28.5,32.9,34.8,33.8,31.2,24,16.1,13.3
2005,14.4,15.1,17.7,22.4,28.2,32.4,36.3,33.5,32,25.7,19.1,13.8
2006,14.3,16.6,16.9,22.6,29.3,34.8,35.9,33.7,29.8,24.5,19.5,12.4
