Year,January,February,March,April,May,June,July,August,September,October,November,December
2007,11.7,15.6,20.5,23.1,29.2,33.8,35.5,35.7,32.4,25.7,21.1,11.8
2008,12.6,14.6,19.2,23.4,25.9,34,35,33.8,32.1,25.5,19.5,13.3
2009,14.8,15.9,19.7,22,30.1,31.5,36.8,35.2,32.2,23.6,19.7,12.1
2010,14.1,15.1,17.1,21.4,25.7,32.9,36,34.5,33.1,25.4,17.2,15.3
2011,13.1,12.9,19.9,23.5,26,32.6,35.2,36.8,33,26,17.5,11.8
2012,14.8,15.7,18.8,23.9,29.2,34.3,34.4,35.2,31.5,26,20.2,13.7
2013,12,14,20.9,24.1,28.9,34.9,35.4,34.8,31.5,23.6,19.3,13.5
2014,15.5,18,20.6,23.8,28.4,34,35.8,33.1,31.7,26.7,18.9,14.3
2015,14.8,18.7,22.3,23.5,26,34.5,34.8,35.9,32.1,26.3,16.7,12.3
2016,13.1,18.7,20.8,23,26.6,34.9,36.2,33.3,30.3,27.2,19.6,14.4
2017,12.8,16.6,21.5,24,27.7,34.8,35,34.4,31,26.9,21.8,15.1
