Year,January,February,March,April,May,June,July,August,September,October,November,December
2005,-0.8,1,2.8,12.3,14.5,23.5,25,24.7,21.1,12.9,7.3,-1.4
2006,4.8,0.8,4.4,13.7,16.2,20.7,24.7,24.3,17.6,11.2,7.6,4.5
2007,1.3,-6.2,8.4,10.3,19.3,22.8,22.9,25.4,21.6,16.6,7,1.9
2008,-0.2,-0.6,4.1,13.1,15.8,22.8,24.1,23.3,21.1,12.6,5.3,0.6
2009,-5.3,0.8,7.7,11.9,17.4,22.4,21.7,22.5,19.3,10.9,8.8,0.3
2010,-3.3,-2.9,6.8,14.5,18.7,23.5,25,24.6,20.2,13.5,6.5,-3
2011,-4.1,0.4,5,12.7,17.9,22.6,26.8,23.6,18.7,12.6,9.3,3.9
2012,1,2.8,12.1,11.7,20.9,22.9,26.9,24.1,18.8,12.3,5.6,4.2
2013,0.1,-0.4,3,12.2,18.9,22.5,23.9,23.2,19.8,13.6,5.1,1.5
2014,-5,-3.3,3.2,12.8,18.8,23.5,22.7,24.1,19.8,12.4,3.3,2.2
2015,-3.3,-7,3.3,11.8,19.3,21.9,22.9,22.1,20.9,13.1,9.2,7
2016,-1.9,1.2,9.2,10.8,15.7,22.9,24.8,25.3,21.3,15.1,8.3,0.3
2017,2.7,5.7,6.2,15.4,17.2,22.3,23.9,22.4,19.9,14.8,6.5,-0.4
