,year,month,mean
287,1974,12,0.7
288,1975,01,-2.1
289,1975,02,2.7
290,1975,03,5.3
291,1975,04,6.9
292,1975,05,13.4
293,1975,06,18.0
294,1975,07,25.7
295,1975,08,21.1
296,1975,09,18.6
297,1975,10,10.6
298,1975,11,4.2
299,1975,12,-0.3
300,1976,01,0.1
301,1976,02,1.2
302,1976,03,2.8
303,1976,04,8.5
304,1976,05,15.2
305,1976,06,17.0
306,1976,07,22.8
307,1976,09,17.8
308,1976,10,10.4
309,1976,11,4.9
310,1976,12,-1.5
311,1977,01,-7.2
312,1977,02,1.0
313,1977,03,4.3
314,1977,04,12.3
315,1977,05,12.1
316,1977,06,21.2
317,1977,07,22.6
318,1977,08,23.1
319,1977,09,16.7
320,1977,10,
321,1977,11,4.2
322,1977,12,4.4
323,1978,01,2.8
324,1978,02,3.4
325,1978,03,9.3
326,1978,04,9.2
327,1978,05,11.8
328,1978,06,18.1
329,1978,08,21.1
330,1978,09,16.3
331,1978,10,11.6
332,1978,11,2.6
333,1978,12,-2.8
334,1979,01,-8.8
335,1979,02,1.3
336,1979,03,6.2
337,1979,04,9.3
338,1979,05,14.2
339,1979,06,19.3
340,1979,07,23.4
341,1979,08,21.8
342,1979,09,19.6
343,1979,10,12.4
344,1979,11,1.3
345,1979,12,2.1
346,1980,01,-0.9
347,1980,02,4.3
348,1980,03,5.1
349,1980,04,11.4
350,1980,05,14.0
351,1980,06,17.0
352,1980,07,22.7
353,1980,08,19.6
354,1980,09,17.0
355,1980,10,10.9
356,1980,11,4.4
357,1980,12,0.6
358,1981,01,1.1
359,1981,02,2.7
360,1981,09,17.6
361,1981,10,9.3
362,1981,11,6.7
363,1981,12,1.8
364,1982,01,-4.6
365,1982,02,1.1
366,1982,03,5.2
367,1982,04,7.3
368,1982,05,12.7
369,1982,06,18.8
370,1982,07,21.2
371,1982,08,22.7
372,1982,09,15.6
373,1982,10,10.5
374,1982,11,2.5
375,1982,12,0.2
376,1983,01,2.2
377,1983,02,5.3
378,1983,03,7.0
379,1983,04,8.4
380,1983,05,13.7
381,1983,06,17.8
382,1983,07,20.7
383,1983,08,23.8
384,1983,09,16.0
385,1983,10,12.1
386,1983,11,5.4
387,1983,12,-4.9
388,1984,01,-6.0
389,1984,02,-1.0
390,1984,03,5.5
391,1984,04,7.7
392,1984,05,12.7
393,1984,06,16.5
394,1984,07,23.3
395,1984,08,24.2
396,1984,09,15.6
397,1984,10,9.9
398,1984,11,3.9
399,1984,12,-3.9
400,1985,01,-7.2
401,1985,02,-3.5
402,1985,03,2.2
403,1985,04,10.9
404,1985,05,14.7
405,1985,06,19.6
406,1985,07,25.4
407,1985,08,20.7
408,1985,09,13.6
409,1985,10,9.1
410,1985,11,-2.4
411,1985,12,-5.8
412,1986,01,-1.4
413,1986,02,5.0
414,1986,03,8.9
415,1986,04,9.1
416,1986,05,15.1
417,1986,06,22.2
418,1986,07,21.0
419,1986,08,24.4
420,1986,09,14.4
421,1986,10,11.7
422,1986,11,4.4
423,1986,12,-2.2
424,1987,01,-2.2
425,1987,02,3.3
426,1987,03,6.7
427,1987,04,13.3
428,1987,05,16.9
429,1987,06,21.2
430,1987,07,21.8
431,1987,08,21.1
432,1987,09,18.8
433,1987,10,12.8
434,1987,11,5.0
435,1987,12,0.6
436,1988,01,-3.3
437,1988,02,3.3
438,1988,03,6.0
439,1988,04,11.5
440,1988,05,14.4
441,1988,06,21.5
442,1988,07,23.7
443,1988,08,22.0
444,1988,09,16.5
445,1988,10,15.5
446,1988,11,4.8
447,1988,12,-2.8
448,1989,01,-4.1
449,1989,02,-4.9
450,1989,03,6.5
451,1989,04,11.7
452,1989,05,13.5
453,1989,06,20.3
454,1989,07,25.0
455,1989,08,21.1
456,1989,09,17.4
457,1989,10,10.7
458,1989,11,4.1
459,1989,12,-0.9
460,1990,01,1.2
461,1990,02,1.2
462,1990,03,6.8
463,1990,04,12.6
464,1990,05,13.2
465,1990,06,19.4
466,1990,07,24.6
467,1990,08,23.3
468,1990,09,21.1
469,1990,10,10.6
470,1990,11,5.1
471,1990,12,-7.7
472,1991,01,-4.2
473,1991,02,5.3
474,1991,03,6.1
475,1991,04,9.1
476,1991,05,12.7
477,1991,06,17.0
478,1991,07,24.3
479,1991,08,24.8
480,1991,09,18.8
481,1991,10,11.0
482,1991,11,3.0
483,1991,12,-0.2
484,1992,01,0.6
485,1992,02,5.6
486,1992,03,9.4
487,1992,04,12.7
488,1992,05,17.9
489,1992,06,21.0
490,1992,07,21.9
491,1992,08,23.3
492,1992,09,17.4
493,1992,10,12.4
494,1992,11,1.4
495,1992,12,-1.9
496,1993,01,-4.0
497,1993,02,-1.7
498,1993,03,5.4
499,1993,04,8.9
500,1993,05,17.3
501,1993,06,16.6
502,1993,07,18.3
503,1993,08,20.3
504,1993,09,17.2
505,1993,10,11.8
506,1993,11,0.4
507,1993,12,0.7
508,1994,01,0.4
509,1994,02,1.5
510,1994,03,7.8
511,1994,04,11.4
512,1994,05,16.1
513,1994,06,19.9
514,1994,07,25.0
515,1994,08,24.5
516,1994,09,19.3
517,1994,10,10.2
518,1994,11,0.3
519,1994,12,-0.9
520,1995,01,2.4
521,1995,02,5.2
522,1995,03,6.4
523,1995,04,9.0
524,1995,05,13.8
525,1995,06,17.8
526,1995,07,23.0
527,1995,08,21.8
528,1995,09,18.7
529,1995,10,9.5
530,1995,11,6.9
531,1995,12,0.5
532,1996,01,0.3
533,1996,02,1.8
534,1996,03,6.8
535,1996,04,10.0
536,1996,05,13.0
537,1996,06,19.3
538,1996,07,24.9
539,1996,08,23.8
540,1996,09,16.5
541,1996,10,11.4
542,1996,11,5.3
543,1996,12,2.5
544,1997,01,0.2
545,1997,02,2.8
546,1997,03,7.5
547,1997,04,9.4
548,1997,05,17.2
549,1997,06,18.9
550,1997,07,22.6
551,1997,08,24.2
552,1997,09,19.9
553,1997,10,11.1
554,1997,11,6.1
555,1997,12,-0.4
556,1998,01,3.8
557,1998,02,4.5
558,1998,03,6.8
559,1998,04,9.9
560,1998,05,13.5
561,1998,06,17.5
562,1998,07,26.3
563,1998,08,24.9
564,1998,09,21.0
565,1998,10,10.7
566,1998,11,6.4
