month,mean
1980-11,17.8
1980-12,
1981-01,15.1
1981-02,16.3
1981-03,17.6
1981-09,31.8
1981-10,23.1
1981-11,18.9
1981-12,14.8
1982-01,12.2
1982-02,15.6
1982-03,16.9
1982-04,22.5
1982-05,26.9
1982-06,31.2
1982-07,34.3
1982-08,34.3
1982-09,30.4
1982-10,23.1
1982-11,16.5
1982-12,12.2
1983-01,13.3
1983-02,14.7
1983-03,16.8
1983-04,19.4
1983-05,26.2
1983-06,31.4
1983-07,35.3
1983-08,33.7
1983-09,32.8
1983-10,25.1
1983-11,16.9
1983-12,14.0
1984-01,14.1
1984-02,15.6
1984-03,19.8
1984-04,21.5
1984-05,30.6
1984-06,31.6
1984-07,33.2
1984-08,32.9
1984-09,30.8
1984-10,21.9
1984-11,16.6
1984-12,12.1
1985-01,12.4
1985-02,13.1
1985-03,17.1
1985-04,23.9
1985-05,27.0
1985-06,33.6
1985-07,34.9
1985-08,33.0
1985-09,27.9
1985-10,23.9
1985-11,16.3
1985-12,13.3
1986-01,14.4
1986-02,15.0
1986-03,18.7
1986-04,22.0
1986-05,25.9
1986-06,32.0
1986-07,32.0
1986-08,32.7
1986-09,26.9
1986-10,23.3
1986-11,16.3
1986-12,11.8
1987-01,12.4
1987-02,14.0
1987-03,15.7
1987-04,23.0
1987-05,26.1
1987-06,32.4
1987-07,33.9
1987-08,33.5
1987-09,30.5
1987-10,25.2
1987-11,15.7
1987-12,11.2
1988-01,11.4
1988-02,15.0
1988-03,17.6
1988-04,21.4
1988-05,26.0
1988-06,31.9
1988-07,34.2
1988-08,32.9
1988-09,28.8
1988-10,26.0
1988-11,16.0
1988-12,11.4
1989-01,10.4
1989-02,14.6
1989-03,19.8
1989-04,24.7
1989-05,27.0
1989-06,31.4
1989-07,34.8
1989-08,32.8
1989-09,30.7
1989-10,23.0
1989-11,17.1
1989-12,12.4
1990-01,11.1
1990-02,13.7
1990-03,18.0
1990-04,22.6
1990-05,26.0
1990-06,32.8
1990-07,32.7
1990-08,31.0
1990-09,29.9
1990-10,23.9
1990-11,17.1
1990-12,10.4
1991-01,12.3
1991-02,16.4
1991-03,14.7
1991-04,22.3
1991-05,25.0
1991-06,31.0
1991-07,35.1
1991-08,34.7
1991-09,31.4
1991-10,26.8
1991-11,17.5
1991-12,14.1
1992-01,13.6
1992-02,16.7
1992-03,18.2
1992-04,25.0
1992-05,28.4
1992-06,32.3
1992-07,33.8
1992-08,33.5
1992-09,32.5
1992-10,26.6
1992-11,16.4
1992-12,12.1
1993-01,14.6
1993-02,14.6
1993-03,18.7
1993-04,23.2
1993-05,28.7
1993-06,32.0
1993-07,33.8
1993-08,33.1
1993-09,31.1
1993-10,24.8
1993-11,16.3
1993-12,13.4
1994-01,13.8
1994-02,14.5
1994-03,18.3
1994-04,22.1
1994-05,25.7
1994-06,33.4
1994-07,34.4
1994-08,35.2
1994-09,30.5
1994-10,22.8
1994-11,14.4
1994-12,12.9
1995-01,12.5
1995-02,17.3
1995-03,17.9
1995-04,20.2
1995-05,24.6
1995-06,30.1
1995-07,34.7
1995-08,34.8
1995-09,31.8
