CITY,INDICATOR,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ST. PAUL ISLAND,Temperature (oC) Q1,-3.3,-1.1,-6.2,-7.4,-4.0,-6.7,-3.3,-4.5,-2.9,-3.0,-5.8,-3.8,-2.7,-5.7,-5.9,-2.1,-1.0,-4.6,-2.7,-4.6,-7.9,-8.7,-5.3,-5.4,-8.0,-9.8,-5.2,-2.1,-0.2,-2.7,-2.5,-2.3,-3.4,-6.4,-1.7,-5.1,-2.1,-4.9,-1.7,-4.2,-6.2,-4.7,-3.7,-4.1,-5.9,-1.1,-4.0,-4.2,-3.9,-3.7,-1.3,-4.4,-1.8,-2.6,-1.1,-4.0,-5.0,-7.0,-6.5,-8.1,-2.6,-8.4,-5.8,-2.9,-1.9,-0.6,-3.9
ST. PAUL ISLAND,Temperature (oC) Q2,2.4,1.1,2.1,1.4,0.1,-0.2,3.4,2.5,1.5,-0.8,2.0,1.4,1.8,1.8,1.2,1.3,4.1,0.3,2.3,1.1,-0.6,-0.1,-0.2,0.7,0.3,0.3,0.3,1.5,5.3,3.3,2.4,1.8,3.0,1.2,-0.4,2.0,2.4,1.3,3.4,2.9,1.9,1.4,3.3,1.0,1.5,3.8,3.0,2.6,1.5,2.7,2.4,3.5,4.1,3.8,3.6,1.5,1.3,1.1,1.3,0.4,1.4,0.3,0.4,3.8,3.3,5.2,3.8
ST. PAUL ISLAND,Temperature (oC) Q3,7.7,7.1,9.0,9.4,5.2,6.8,6.2,7.9,7.9,7.6,7.5,7.6,7.5,7.3,7.3,7.6,8.7,7.5,9.0,7.1,6.0,6.7,7.0,7.7,7.9,8.0,11.4,11.4,9.5,7.8,8.2,7.3,8.0,8.4,7.7,8.6,8.2,8.4,9.0,8.4,8.8,7.4,9.3,8.4,8.9,8.9,9.0,8.3,7.6,8.6,8.1,9.1,8.9,9.7,10.6,8.4,8.8,7.7,7.4,8.0,7.7,7.0,8.3,10.5,9.4,10.9,8.8
ST. PAUL ISLAND,Temperature (oC) Q4,1.4,1.0,0.9,0.0,0.3,-0.9,1.7,2.6,1.0,0.5,-0.4,0.0,0.0,0.5,0.4,0.3,1.5,0.8,0.9,1.6,2.7,1.8,1.1,-1.6,-0.1,-1.2,-1.0,2.5,3.0,0.9,0.1,1.3,1.8,1.9,2.3,1.3,-0.7,0.1,0.7,1.4,0.9,-0.2,1.8,0.4,1.4,2.1,0.0,0.6,-1.9,2.8,-0.4,1.9,1.8,1.5,1.1,0.3,1.0,-0.4,0.0,0.6,0.4,0.1,2.3,2.5,2.4,3.2,2.9
ST. PAUL ISLAND,Temperature (oC) Y,2.0,2.0,1.4,0.8,0.4,-0.3,2.0,2.1,1.9,1.1,0.8,1.3,1.6,1.0,0.8,1.8,3.3,1.0,2.4,1.3,0.1,-0.1,0.7,0.4,0.0,-0.7,1.4,3.3,4.4,2.3,2.1,2.0,2.4,1.3,2.0,1.7,2.0,1.2,2.9,2.1,1.4,1.0,2.7,1.4,1.5,3.4,2.0,1.8,0.8,2.6,2.2,2.5,3.3,3.1,3.5,1.5,1.5,0.3,0.6,0.2,1.7,-0.3,1.3,3.5,3.3,4.6,2.9
