Year,BOISE,BOSTON,COLUMBUS,DES MOINES,MIAMI,NASHVILLE,NEW ORLEANS,PHOENIX,SALT LAKE CITY,SAN DIEGO,SAN FRANCISCO,ST. PAUL ISLAND
2008,2.78,-0.18,1.06,0.98,1.20,0.10,0.98,2.93,0.74,0.75,0.87,-1.69
2009,2.92,-0.78,0.76,1.99,1.37,-0.14,1.99,3.33,0.80,0.97,1.17,-1.46
2010,3.30,0.87,1.23,2.71,0.07,0.15,2.71,2.84,1.01,0.28,1.41,-1.78
2011,2.84,0.61,1.67,3.01,1.42,0.64,3.01,2.88,0.59,0.64,0.48,-0.30
2012,4.40,1.08,2.83,5.16,1.00,1.68,5.16,3.67,3.25,1.00,0.83,-2.28
2013,2.47,-0.09,1.18,2.21,1.32,0.01,2.21,3.27,1.43,0.91,1.09,-0.73
2014,3.76,-0.61,0.43,1.54,1.15,-0.21,1.54,3.92,2.70,2.88,3.25,1.46
2015,4.43,-0.35,0.99,3.58,2.04,1.08,3.58,3.68,3.11,2.83,2.42,1.28
2016,3.90,0.65,1.98,4.47,1.45,1.90,4.47,3.70,3.10,2.17,2.02,2.62
2017,3.07,0.65,2.28,4.47,2.02,1.77,4.47,3.99,3.02,2.08,2.14,0.86
